#DISTANCE:      BLOCK_NUMBER:        AVE_GOFR:
    0.795139          12           0
    0.820788          12           0
    0.846438          12           0
    0.872088          12           0
    0.897737          12           0
    0.923387          12   0.0241697
    0.949037          12    0.146663
    0.974686          12    0.515152
     1.00034          12     1.11543
     1.02599          12     1.74653
     1.05164          12     2.15888
     1.07728          12     2.35112
     1.10293          12      2.3036
     1.12858          12     2.25881
     1.15423          12     2.01613
     1.17988          12     1.87646
     1.20553          12     1.63203
     1.23118          12     1.49227
     1.25683          12      1.3289
     1.28248          12     1.19773
     1.30813          12     1.05417
     1.33378          12    0.971349
     1.35943          12    0.914002
     1.38508          12    0.820775
