#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         710          -1   -0.990986  0.00124957
         711          -1   -0.990999  0.00124787
         712       -0.92   -0.990899   0.0012501
         713       -0.92   -0.990799  0.00125229
         714          -1   -0.990812  0.00125061
         715          -1   -0.990825  0.00124892
         716          -1   -0.990838  0.00124724
         717          -1   -0.990851  0.00124557
         718          -1   -0.990864   0.0012439
         719          -1   -0.990876  0.00124224
         720          -1   -0.990889  0.00124057
         721          -1   -0.990902  0.00123892
         722          -1   -0.990914  0.00123727
         723          -1   -0.990927  0.00123562
         724          -1   -0.990939  0.00123398
         725          -1   -0.990952  0.00123234
         726          -1   -0.990964   0.0012307
         727          -1   -0.990977  0.00122907
         728          -1   -0.990989  0.00122745
         729          -1   -0.991001  0.00122583
         730          -1   -0.991014  0.00122421
         731          -1   -0.991026   0.0012226
         732          -1   -0.991038  0.00122099
         733          -1    -0.99105  0.00121938
         734          -1   -0.991063  0.00121778
         735          -1   -0.991075  0.00121619
         736          -1   -0.991087  0.00121459
         737          -1   -0.991099  0.00121301
         738          -1   -0.991111  0.00121142
         739          -1   -0.991123  0.00120984
         740          -1   -0.991135  0.00120827
         741          -1   -0.991147   0.0012067
         742          -1   -0.991159  0.00120513
         743          -1   -0.991171  0.00120357
         744          -1   -0.991183  0.00120201
         745          -1   -0.991195  0.00120045
         746          -1   -0.991206   0.0011989
         747          -1   -0.991218  0.00119735
         748          -1    -0.99123  0.00119581
         749          -1   -0.991242  0.00119427
         750          -1   -0.991253  0.00119273
         751          -1   -0.991265   0.0011912
         752          -1   -0.991277  0.00118968
         753          -1   -0.991288  0.00118815
         754          -1     -0.9913  0.00118663
         755          -1   -0.991311  0.00118512
         756          -1   -0.991323  0.00118361
         757          -1   -0.991334   0.0011821
         758          -1   -0.991346  0.00118059
         759          -1   -0.991357  0.00117909
